Country/Region,Confirmed,Active,Recovered,Deaths,Group
Afghanistan,40687,5170,34010,1507,Eastern Mediterranean
Albania,18556,7621,10466,469,Europe
Algeria,55630,14945,38788,1897,Africa
Andorra,4038,1240,2729,69,Europe
Angola,8829,5180,3384,265,Africa
Antigua and Barbuda,122,12,107,3,Americas
Argentina,1069368,174335,866695,28338,Americas
Armenia,73310,21889,50276,1145,Europe
Australia,27495,1417,25173,905,Western Pacific
Austria,74415,18266,55195,954,Europe
Azerbaijan,48221,6734,40831,656,Europe
Bahamas,6268,2343,3795,130,Americas
Bahrain,79574,3120,76143,311,Eastern Mediterranean
Bangladesh,396413,78587,312065,5761,South-East Asia
Barbados,226,12,207,7,Americas
Belarus,91167,8086,82136,945,Europe
Belgium,287700,254525,22517,10658,Europe
Belize,3050,1132,1872,46,Americas
Benin,2557,186,2330,41,Africa
Bhutan,336,30,306,0,South-East Asia
Bolivia,140612,24371,107633,8608,Americas
Bosnia and Herzegovina,38493,11168,26260,1065,Europe
Botswana,5923,4975,927,21,Africa
Brazil,5353656,670792,4526393,156471,Americas
Brunei,148,2,143,3,Western Pacific
Bulgaria,36519,17340,18102,1077,Europe
Burkina Faso,2433,372,1996,65,Africa
Burma,42365,18882,22445,1038,South-East Asia
Burundi,553,55,497,1,Africa
Cambodia,287,4,283,0,Western Pacific
Cameroon,21570,1028,20117,425,Africa
Canada,214519,23953,180626,9940,Americas
Cape Verde,8198,1070,7034,94,Africa
Central African Republic,4862,2876,1924,62,Africa
Chad,1423,93,1234,96,Africa
Chile,498906,13896,471166,13844,Americas
China,91108,419,85950,4739,Western Pacific
Colombia,998942,67488,901652,29802,Americas
Comoros,517,16,494,7,Africa
Congo-Brazzaville,5156,1177,3887,92,Africa
Costa Rica,101826,38899,61662,1265,Americas
Croatia,31717,8394,22910,413,Europe
Cruise Ship,721,47,659,15,Other
Cuba,6479,452,5899,128,Americas
Cyprus,3314,1845,1444,25,Europe
Czech Republic,238323,144701,91651,1971,Europe
Democratic Republic of Congo,11122,439,10379,304,Africa
Denmark,39129,6648,31784,697,Europe
Djibouti,5528,74,5393,61,Eastern Mediterranean
Dominica,37,8,29,0,Americas
Dominican Republic,122873,19741,100920,2212,Americas
East Timor,29,1,28,0,South-East Asia
Ecuador,158270,11555,134187,12528,Americas
Egypt,106230,1341,98713,6176,Eastern Mediterranean
El Salvador,32421,3354,28127,940,Americas
Equatorial Guinea,5074,30,4961,83,Africa
Eritrea,461,56,405,0,Africa
Estonia,4300,809,3418,73,Europe
Eswatini,5831,230,5485,116,Africa
Ethiopia,92229,44711,46118,1400,Africa
Fiji,33,1,30,2,Western Pacific
Finland,14474,4321,9800,353,Europe
France,1084659,936487,113636,34536,Europe
Gabon,8919,353,8512,54,Africa
Gambia,3659,880,2660,119,Africa
Georgia,24562,14628,9751,183,Europe
Germany,426110,103755,312347,10008,Europe
Ghana,47601,463,46824,314,Africa
Greece,29057,27151,1347,559,Europe
Grenada,27,3,24,0,Americas
Guatemala,103902,6967,93341,3594,Americas
Guinea,11635,1090,10474,71,Africa
Guinea-Bissau,2403,544,1818,41,Africa
Guyana,3960,920,2923,117,Americas
Haiti,9015,1423,7361,231,Americas
Holy See,27,12,15,0,Europe
Honduras,91509,51773,37132,2604,Americas
Hungary,54278,37271,15655,1352,Europe
Iceland,4308,1110,3187,11,Europe
India,7814682,680680,7016046,117956,South-East Asia
Indonesia,381910,63733,305100,13077,South-East Asia
Iran,556891,78221,446685,31985,Eastern Mediterranean
Iraq,445949,60248,375188,10513,Eastern Mediterranean
Ireland,55261,30019,23364,1878,Europe
Israel,308840,16381,290130,2329,Europe
Italy,484869,186002,261808,37059,Europe
Ivory Coast,20405,184,20100,121,Africa
Jamaica,8638,4300,4156,182,Americas
Japan,95868,6562,87600,1706,Western Pacific
Jordan,48930,40973,7449,508,Eastern Mediterranean
Kazakhstan,110250,2888,105566,1796,Europe
Kenya,47843,13538,33421,884,Africa
Kosovo,17263,1775,14831,657,Europe
Kuwait,120232,8052,111440,740,Eastern Mediterranean
Kyrgyzstan,54588,6412,47050,1126,Europe
Laos,24,2,22,0,Western Pacific
Latvia,4208,2801,1357,50,Europe
Lebanon,68479,35508,32412,559,Eastern Mediterranean
Lesotho,1934,930,961,43,Africa
Liberia,1393,33,1278,82,Africa
Libya,53384,22991,29619,774,Eastern Mediterranean
Liechtenstein,324,153,170,1,Europe
Lithuania,9104,5000,3978,126,Europe
Luxembourg,12851,3625,9085,141,Europe
Madagascar,16810,357,16215,238,Africa
Malawi,5885,415,5287,183,Africa
Malaysia,24514,8416,15884,214,Western Pacific
Maldives,11391,926,10428,37,South-East Asia
Mali,3444,692,2620,132,Africa
Malta,5258,1770,3439,49,Europe
Mauritania,7662,125,7374,163,Africa
Mauritius,435,39,386,10,Africa
Mexico,880775,51529,740934,88312,Americas
Moldova,70256,17500,51102,1654,Europe
Monaco,295,52,241,2,Europe
Mongolia,328,16,312,0,Western Pacific
Montenegro,16436,3803,12378,255,Europe
Morocco,190416,30036,157175,3205,Eastern Mediterranean
Mozambique,11748,2432,9234,82,Africa
Namibia,12501,1620,10748,133,Africa
Nepal,153008,46691,105488,829,South-East Asia
Netherlands,278546,266003,5517,7026,Europe
New Zealand,1934,74,1835,25,Western Pacific
Nicaragua,5434,1054,4225,155,Americas
Niger,1215,18,1128,69,Africa
Nigeria,61882,3563,57190,1129,Africa
North Macedonia,25991,6861,18247,883,Europe
Norway,17532,5390,11863,279,Europe
Oman,111837,12741,97949,1147,Eastern Mediterranean
Pakistan,327063,10235,310101,6727,Eastern Mediterranean
Panama,127866,21259,103985,2622,Americas
Papua New Guinea,583,31,545,7,Western Pacific
Paraguay,58259,18184,38797,1278,Americas
Peru,879876,49173,796719,33984,Americas
Philippines,365799,46193,312691,6915,Western Pacific
Poland,228318,119054,105092,4172,Europe
Portugal,112440,44284,65880,2276,Europe
Qatar,130711,2883,127599,229,Eastern Mediterranean
Romania,201032,50358,144429,6245,Europe
Russia,1471000,331911,1113736,25353,Europe
Rwanda,5052,212,4806,34,Africa
Saint Kitts and Nevis,19,0,19,0,Americas
Saint Lucia,48,21,27,0,Americas
Saint Vincent and the Grenadines,73,9,64,0,Americas
San Marino,819,61,716,42,Europe
Sao Tome and Principe,938,25,898,15,Africa
Saudi Arabia,344157,8315,330578,5264,Eastern Mediterranean
Senegal,15525,1122,14082,321,Africa
Serbia,38115,37329,0,786,Europe
Seychelles,153,4,149,0,Africa
Sierra Leone,2343,487,1782,74,Africa
Singapore,57951,91,57832,28,Western Pacific
Slovakia,37911,28918,8859,134,Europe
Slovenia,19307,11434,7659,214,Europe
Solomon Islands,4,1,3,0,Solomon Islands
Somalia,3897,629,3166,102,Eastern Mediterranean
South Africa,712412,49998,643523,18891,Africa
South Korea,25775,1484,23834,457,Western Pacific
South Sudan,2876,1530,1290,56,Africa
Spain,1046132,861004,150376,34752,Europe
Sri Lanka,7153,3495,3644,14,South-East Asia
Sudan,13724,6124,6764,836,Eastern Mediterranean
Suriname,5155,36,5010,109,Americas
Sweden,110594,104661,0,5933,Europe
Switzerland,103653,45786,55800,2067,Europe
Syria,5319,3363,1692,264,Eastern Mediterranean
Taiwan,548,44,497,7,South-East Asia
Tajikistan,10695,832,9782,81,Europe
Tanzania,509,305,183,21,Africa
Thailand,3731,143,3529,59,South-East Asia
Togo,2162,524,1586,52,Africa
Trinidad and Tobago,5487,1438,3945,104,Americas
Tunisia,47214,41398,5032,784,Eastern Mediterranean
Turkey,357693,36515,311520,9658,Europe
US,8491459,4892057,3375427,223975,Americas
Uganda,11163,3795,7269,99,Africa
Ukraine,340042,190613,143093,6336,Europe
United Arab Emirates,122273,6730,115068,475,Eastern Mediterranean
United Kingdom,834010,786692,2657,44661,Europe
Uruguay,2759,465,2241,53,Americas
Uzbekistan,64724,2225,61957,542,Europe
Venezuela,88718,5055,82899,764,Americas
Vietnam,1148,64,1049,35,Western Pacific
West Bank and Gaza,49579,6290,42850,439,Eastern Mediterranean
Western Sahara,10,1,8,1,Africa
Yemen,2060,107,1354,599,Eastern Mediterranean
Zambia,16095,570,15179,346,Africa
Zimbabwe,8257,250,7771,236,Africa
