Country/Region,Date,Confirmed,Active,Recovered,Deaths,Latitude,Longitude
China,2020-01-22,0.0,0.0,0.0,0.0,35.0,103.0
Japan,2020-01-22,0.0,0.0,0.0,0.0,36.0,138.0
South Korea,2020-01-22,0.0,0.0,0.0,0.0,36.0,128.0
Hong Kong,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,2020-01-22,0.0,0.0,0.0,0.0,16.0,101.0
US,2020-01-22,0.0,0.0,0.0,0.0,40.0,-90.0
Taiwan,2020-01-22,0.0,0.0,0.0,0.0,24.0,121.0
Singapore,2020-01-23,0.0,0.0,0.0,0.0,1.0,104.0
Hong Kong,2020-01-23,2.0,2.0,0.0,0.0,0.0,0.0
Japan,2020-01-23,-1.0,-1.0,0.0,0.0,36.0,138.0
US,2020-01-23,0.0,0.0,0.0,0.0,40.0,-90.0
South Korea,2020-01-23,0.0,0.0,0.0,0.0,36.0,128.0
Brazil,2020-01-23,0.0,0.0,0.0,0.0,-10.0,-52.0
Australia,2020-01-23,0.0,0.0,0.0,0.0,-25.0,133.0
Colombia,2020-01-23,0.0,0.0,0.0,0.0,4.0,-72.0
Mexico,2020-01-23,0.0,0.0,0.0,0.0,23.0,-102.0
Philippines,2020-01-23,0.0,0.0,0.0,0.0,13.0,122.0
Vietnam,2020-01-23,0.0,0.0,0.0,0.0,14.0,108.0
Taiwan,2020-01-23,0.0,0.0,0.0,0.0,24.0,121.0
Thailand,2020-01-23,1.0,1.0,0.0,0.0,16.0,101.0
Malaysia,2020-01-23,0.0,0.0,0.0,0.0,4.0,102.0
China,2020-01-23,93.0,90.0,2.0,1.0,35.0,103.0
Hong Kong,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0
China,2020-01-24,277.0,263.0,6.0,8.0,35.0,103.0
South Korea,2020-01-24,1.0,1.0,0.0,0.0,36.0,128.0
Taiwan,2020-01-24,2.0,2.0,0.0,0.0,24.0,121.0
US,2020-01-24,1.0,1.0,0.0,0.0,40.0,-90.0
France,2020-01-24,0.0,0.0,0.0,0.0,47.0,2.0
