Country/Region,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country/Region (group)
Afghanistan,0.4,4.0,26.9,33.5,10.6,3.1,2.3,4.4,10.0,5.0,Eastern Mediterranean
Albania,0.5,1.1,0.7,2.8,5.6,8.6,8.4,14.7,35.2,22.4,Europe
Algeria,0.8,3.6,5.8,4.9,17.8,15.2,7.6,6.9,27.3,10.1,Africa
Andorra,5.1,5.0,0.3,1.2,0.9,3.4,11.8,36.7,26.9,8.6,Europe
Angola,0.0,0.1,0.4,1.2,5.3,9.3,14.2,35.8,26.6,7.0,Africa
Antigua and Barbuda,4.1,11.5,1.4,29.1,14.9,2.0,4.7,18.2,8.8,4.7,Americas
Argentina,0.1,0.2,0.8,3.2,8.4,15.1,22.2,27.7,17.1,5.2,Americas
Armenia,0.4,1.0,4.9,10.9,8.7,3.5,4.4,26.5,30.5,9.1,Europe
Australia,16.2,7.9,1.6,2.6,33.4,30.4,4.6,1.8,1.1,0.5,Western Pacific
Austria,3.1,1.6,0.4,0.3,1.0,1.9,5.3,18.5,54.6,13.1,Europe
Azerbaijan,0.2,0.8,2.1,6.7,8.0,2.5,2.1,8.4,36.8,32.3,Europe
Bahamas,0.2,0.9,0.3,0.0,6.1,21.4,24.8,33.8,10.8,1.7,Americas
Bahrain,0.6,2.8,9.4,17.2,15.9,12.3,21.2,12.1,5.9,2.6,Eastern Mediterranean
Bangladesh,0.0,1.5,8.0,20.0,18.7,15.3,10.3,9.0,11.6,5.6,South-East Asia
Barbados,10.8,15.9,3.7,1.7,4.4,21.6,5.4,15.9,13.2,6.8,Americas
Belarus,0.1,8.6,17.6,12.1,3.5,2.5,4.2,12.2,23.5,15.7,Europe
Belgium,2.1,5.9,1.6,0.5,1.2,2.7,5.5,51.0,24.3,5.2,Europe
Belize,0.0,0.2,0.0,0.1,0.3,10.2,10.5,15.9,25.2,37.6,Americas
Benin,0.3,1.8,5.4,31.3,19.6,11.0,6.9,9.3,12.0,2.4,Africa
Bhutan,0.7,0.7,8.2,7.8,5.5,28.3,13.0,15.3,13.9,6.4,South-East Asia
Bolivia,0.1,0.7,6.0,15.8,29.6,27.0,12.7,4.4,2.0,1.8,Americas
Bosnia and Herzegovina,0.4,1.3,0.7,1.9,7.3,8.0,7.4,22.3,37.3,13.4,Europe
Botswana,0.0,0.1,0.1,1.5,4.5,6.4,12.0,27.0,31.8,16.6,Africa
Brazil,0.1,1.2,6.2,12.8,18.2,18.0,13.0,10.5,11.6,8.5,Americas
Brunei,84.2,5.9,2.0,0.0,0.0,2.0,1.3,1.3,1.3,1.3,Western Pacific
Bulgaria,0.2,0.6,0.6,1.4,3.7,2.5,2.5,17.6,50.9,20.0,Europe
Burkina Faso,6.2,9.1,4.8,2.7,3.4,6.2,16.3,10.5,9.2,31.4,Africa
Burma,0.0,0.1,0.1,0.1,0.0,0.5,11.4,35.9,34.7,17.2,South-East Asia
Burundi,0.0,1.2,7.1,14.7,29.8,8.0,8.6,10.6,14.1,5.6,Africa
Cambodia,29.8,3.6,0.8,4.4,27.1,9.7,0.8,3.9,9.7,9.9,Western Pacific
Cameroon,0.8,6.5,16.1,26.5,18.5,7.5,6.7,3.8,10.5,3.0,Africa
Canada,1.8,9.7,8.0,2.9,2.6,2.7,6.4,16.1,30.5,19.3,Americas
Cape Verde,0.0,1.0,2.8,7.0,10.8,12.6,18.8,24.4,17.3,5.3,Africa
Central African Republic,0.0,1.0,19.5,55.4,17.5,2.1,2.4,0.7,1.0,0.5,Africa
Chad,0.3,3.7,39.8,5.0,4.0,4.3,10.6,16.0,11.6,4.7,Africa
Chile,0.5,2.3,14.6,31.3,13.3,9.8,8.9,8.2,7.2,3.8,Americas
China,2.6,1.8,0.2,0.7,3.0,2.4,0.7,0.9,1.6,1.6,Western Pacific
Colombia,0.1,0.4,1.4,4.7,14.0,22.3,15.0,17.0,16.9,8.2,Americas
Comoros,0.0,0.0,16.7,31.4,11.9,7.2,8.9,10.5,10.5,2.7,Africa
Congo-Brazzaville,0.3,3.2,6.3,7.7,34.1,12.6,17.9,3.2,7.8,6.9,Africa
