Country/Region,Confirmed,percentage of active,active cases interval,percentage of recovered,recovered cases interval,percentage of deaths,deaths cases interval,WHO region
Afghanistan,40073,12.66,few active cases,83.64,high recovered cases,3.71,very high deaths cases,Eastern Mediterranean
Albania,16501,36.97,high active cases,60.34,few recovered cases,2.68,high deaths cases,Europe
Algeria,53998,26.48,high active cases,70.11,few recovered cases,3.41,very high deaths cases,Africa
Andorra,3377,37.34,high active cases,60.91,few recovered cases,1.75,few deaths cases,Europe
Angola,7222,55.05,very high active cases,41.71,very few recovered cases,3.24,very high deaths cases,Africa
Antigua and Barbuda,112,8.04,few active cases,89.29,high recovered cases,2.68,high deaths cases,Americas
Argentina,965609,16.71,high active cases,80.62,few recovered cases,2.66,high deaths cases,Americas
Armenia,61460,20.93,high active cases,77.35,few recovered cases,1.72,few deaths cases,Europe
Australia,27378,5.03,few active cases,91.67,high recovered cases,3.3,very high deaths cases,Western Pacific
Austria,61387,20.99,high active cases,77.57,few recovered cases,1.44,few deaths cases,Europe
Azerbaijan,43789,7.69,few active cases,90.89,high recovered cases,1.42,few deaths cases,Europe
Bahamas,5517,39.91,very high active cases,58.02,very few recovered cases,2.07,high deaths cases,Americas
Bahrain,77325,4.67,few active cases,94.95,very high recovered cases,0.38,very few deaths cases,Eastern Mediterranean
Bangladesh,386086,20.65,high active cases,77.89,few recovered cases,1.46,few deaths cases,South-East Asia
Barbados,219,7.76,few active cases,89.04,high recovered cases,3.2,very high deaths cases,Americas
Belarus,86392,7.5,few active cases,91.43,high recovered cases,1.07,few deaths cases,Europe
Belgium,202151,84.55,very high active cases,10.32,very few recovered cases,5.12,very high deaths cases,Europe
Belize,2728,38.82,high active cases,59.6,few recovered cases,1.58,few deaths cases,Americas
Benin,2496,5.01,few active cases,93.35,high recovered cases,1.64,few deaths cases,Africa
Bhutan,316,5.7,few active cases,94.3,very high recovered cases,0.0,very few deaths cases,South-East Asia
Bolivia,139562,19.51,high active cases,74.44,few recovered cases,6.05,very high deaths cases,Americas
Bosnia and Herzegovina,32845,22.11,high active cases,74.91,few recovered cases,2.98,high deaths cases,Europe
Botswana,5242,82.35,very high active cases,17.26,very few recovered cases,0.38,very few deaths cases,Africa
Brazil,5200300,10.01,few active cases,87.04,high recovered cases,2.95,high deaths cases,Americas
Brunei,147,0.68,very few active cases,97.28,very high recovered cases,2.04,high deaths cases,Western Pacific
Bulgaria,28505,37.44,high active cases,59.2,few recovered cases,3.36,very high deaths cases,Europe
Burkina Faso,2343,23.9,high active cases,73.32,few recovered cases,2.77,high deaths cases,Africa
Burma,33488,51.4,very high active cases,46.22,very few recovered cases,2.39,high deaths cases,South-East Asia
Burundi,531,6.21,few active cases,93.6,high recovered cases,0.19,very few deaths cases,Africa
Cambodia,283,1.06,very few active cases,98.94,very high recovered cases,0.0,very few deaths cases,Western Pacific
Cameroon,21441,4.2,very few active cases,93.82,very high recovered cases,1.97,high deaths cases,Africa
Canada,196928,10.58,few active cases,84.45,high recovered cases,4.97,very high deaths cases,Americas
Cape Verde,7526,13.54,few active cases,85.37,high recovered cases,1.09,few deaths cases,Africa
Central African Republic,4855,59.09,very high active cases,39.63,very few recovered cases,1.28,few deaths cases,Africa
Chad,1361,9.55,few active cases,83.61,high recovered cases,6.83,very high deaths cases,Africa
Chile,488190,2.78,very few active cases,94.45,very high recovered cases,2.77,high deaths cases,Americas
China,90925,0.47,very few active cases,94.32,very high recovered cases,5.21,very high deaths cases,Western Pacific
Colombia,945354,8.43,few active cases,88.54,high recovered cases,3.03,high deaths cases,Americas
Comoros,502,1.99,very few active cases,96.61,very high recovered cases,1.39,few deaths cases,Africa
Congo-Brazzaville,5156,22.83,high active cases,75.39,few recovered cases,1.78,few deaths cases,Africa
Costa Rica,94348,37.0,high active cases,61.76,few recovered cases,1.24,few deaths cases,Americas
Croatia,23665,17.89,high active cases,80.65,few recovered cases,1.46,few deaths cases,Europe
Cruise Ship,721,6.52,few active cases,91.4,high recovered cases,2.08,high deaths cases,Other
Cuba,6118,4.77,few active cases,93.2,high recovered cases,2.03,high deaths cases,Americas
Cyprus,2379,38.25,high active cases,60.7,few recovered cases,1.05,few deaths cases,Europe
Czech Republic,160112,57.92,very high active cases,41.28,very few recovered cases,0.8,very few deaths cases,Europe
Democratic Republic of Congo,10999,3.24,very few active cases,94.03,very high recovered cases,2.74,high deaths cases,Africa
Denmark,34939,14.96,high active cases,83.1,high recovered cases,1.94,high deaths cases,Europe
Djibouti,5449,0.29,very few active cases,98.59,very high recovered cases,1.12,few deaths cases,Eastern Mediterranean
Dominica,33,12.12,few active cases,87.88,high recovered cases,0.0,very few deaths cases,Americas
Dominican Republic,120450,17.75,high active cases,80.43,few recovered cases,1.82,few deaths cases,Americas
East Timor,29,3.45,very few active cases,96.55,very high recovered cases,0.0,very few deaths cases,South-East Asia
Ecuador,151659,7.36,few active cases,84.49,high recovered cases,8.15,very high deaths cases,Americas
Egypt,105159,0.92,very few active cases,93.28,high recovered cases,5.8,very high deaths cases,Eastern Mediterranean
El Salvador,31265,12.19,few active cases,84.89,high recovered cases,2.92,high deaths cases,Americas
Equatorial Guinea,5068,0.61,very few active cases,97.75,very high recovered cases,1.64,few deaths cases,Africa
Eritrea,422,10.9,few active cases,89.1,high recovered cases,0.0,very few deaths cases,Africa
Estonia,4017,20.21,high active cases,78.09,few recovered cases,1.69,few deaths cases,Europe
