Province,Country,Date,Confirmed,Active,Recovered,Deaths
" Norfolk County, MA",US,2020-03-03,1.0,1.0,0.0,0.0
" Norfolk County, MA",US,2020-03-04,1.0,1.0,0.0,0.0
" Norfolk County, MA",US,2020-03-05,1.0,1.0,0.0,0.0
" Norfolk County, MA",US,2020-03-06,2.0,2.0,0.0,0.0
" Norfolk County, MA",US,2020-03-07,2.0,2.0,0.0,0.0
Abruzzo,Italy,2020-05-14,3136.0,1482.0,1275.0,379.0
Abruzzo,Italy,2020-05-15,3148.0,1454.0,1313.0,381.0
Abruzzo,Italy,2020-05-16,3178.0,1423.0,1372.0,383.0
Abruzzo,Italy,2020-05-17,3186.0,1422.0,1379.0,385.0
Abruzzo,Italy,2020-05-18,3193.0,1413.0,1392.0,388.0
Abruzzo,Italy,2020-05-19,3197.0,1389.0,1419.0,389.0
Abruzzo,Italy,2020-05-20,3205.0,1317.0,1499.0,389.0
Abruzzo,Italy,2020-05-21,3212.0,1272.0,1549.0,391.0
Abruzzo,Italy,2020-05-22,3220.0,1179.0,1647.0,394.0
Abruzzo,Italy,2020-05-23,3221.0,1168.0,1659.0,394.0
Abruzzo,Italy,2020-05-24,3226.0,1092.0,1736.0,398.0
Abruzzo,Italy,2020-05-25,3227.0,1046.0,1781.0,400.0
Abruzzo,Italy,2020-05-26,3230.0,909.0,1921.0,400.0
Abruzzo,Italy,2020-05-27,3235.0,866.0,1969.0,400.0
Abruzzo,Italy,2020-05-28,3237.0,824.0,2011.0,402.0
Abruzzo,Italy,2020-05-29,3237.0,770.0,2063.0,404.0
Abruzzo,Italy,2020-05-30,3237.0,770.0,2063.0,404.0
Abruzzo,Italy,2020-05-31,3222.0,753.0,2064.0,405.0
Abruzzo,Italy,2020-06-01,3245.0,744.0,2093.0,408.0
Abruzzo,Italy,2020-06-02,3249.0,743.0,2093.0,413.0
Abruzzo,Italy,2020-06-03,3252.0,736.0,2102.0,414.0
Abruzzo,Italy,2020-06-04,3255.0,704.0,2136.0,415.0
Abruzzo,Italy,2020-06-05,3257.0,670.0,2172.0,415.0
Abruzzo,Italy,2020-06-06,3258.0,653.0,2187.0,418.0
Abruzzo,Italy,2020-06-07,3265.0,653.0,2194.0,418.0
Abruzzo,Italy,2020-06-08,3265.0,632.0,2215.0,418.0
Abruzzo,Italy,2020-06-09,3266.0,567.0,2248.0,451.0
Abruzzo,Italy,2020-06-10,3266.0,550.0,2263.0,453.0
Abruzzo,Italy,2020-06-11,3267.0,539.0,2275.0,453.0
Abruzzo,Italy,2020-06-12,3271.0,528.0,2290.0,453.0
Abruzzo,Italy,2020-06-13,3275.0,509.0,2312.0,454.0
Abruzzo,Italy,2020-06-14,3279.0,511.0,2312.0,456.0
Abruzzo,Italy,2020-06-15,3279.0,486.0,2337.0,456.0
Abruzzo,Italy,2020-06-16,3280.0,468.0,2355.0,457.0
Abruzzo,Italy,2020-06-17,3281.0,438.0,2386.0,457.0
Abruzzo,Italy,2020-06-18,3281.0,434.0,2389.0,458.0
Abruzzo,Italy,2020-06-19,3280.0,407.0,2414.0,459.0
Abruzzo,Italy,2020-06-20,3281.0,404.0,2418.0,459.0
Abruzzo,Italy,2020-06-21,3281.0,403.0,2419.0,459.0
Abruzzo,Italy,2020-06-22,3282.0,394.0,2428.0,460.0
Abruzzo,Italy,2020-06-23,3282.0,391.0,2431.0,460.0
Abruzzo,Italy,2020-06-24,3283.0,378.0,2444.0,461.0
Abruzzo,Italy,2020-06-25,3284.0,371.0,2452.0,461.0
Abruzzo,Italy,2020-06-26,3285.0,358.0,2466.0,461.0
Abruzzo,Italy,2020-06-27,3285.0,337.0,2487.0,461.0
Abruzzo,Italy,2020-06-28,3286.0,284.0,2540.0,462.0
Abruzzo,Italy,2020-06-29,3287.0,282.0,2543.0,462.0
Abruzzo,Italy,2020-06-30,3287.0,197.0,2626.0,464.0
Abruzzo,Italy,2020-07-01,3289.0,170.0,2655.0,464.0
Abruzzo,Italy,2020-07-02,3292.0,160.0,2668.0,464.0
Abruzzo,Italy,2020-07-03,3298.0,156.0,2678.0,464.0
Abruzzo,Italy,2020-07-04,3305.0,159.0,2682.0,464.0
Abruzzo,Italy,2020-07-05,3309.0,163.0,2682.0,464.0
Abruzzo,Italy,2020-07-06,3309.0,156.0,2689.0,464.0
Abruzzo,Italy,2020-07-07,3309.0,153.0,2692.0,464.0
Abruzzo,Italy,2020-07-08,3310.0,145.0,2701.0,464.0
Abruzzo,Italy,2020-07-09,3318.0,147.0,2707.0,464.0
Abruzzo,Italy,2020-07-10,3321.0,148.0,2709.0,464.0
Abruzzo,Italy,2020-07-11,3323.0,147.0,2712.0,464.0
Abruzzo,Italy,2020-07-12,3328.0,150.0,2713.0,465.0
Abruzzo,Italy,2020-07-13,3328.0,143.0,2719.0,466.0
Abruzzo,Italy,2020-07-14,3328.0,121.0,2740.0,467.0
Abruzzo,Italy,2020-07-15,3331.0,124.0,2740.0,467.0
Abruzzo,Italy,2020-07-16,3333.0,120.0,2745.0,468.0
