Country/Region,Latitude,Longitude
Afghanistan,33,65
Albania,41,20
Algeria,28,2
Andorra,42.5,1.52
Angola,-12.5,18.5
Antigua and Barbuda,17.05,-61.8
Lesotho,-29.61,28.3
Comoros,-12.17,44.25
Tajikistan,39,71
Yemen,15.35,44.21
Sao Tome and Principe,1,7
South Sudan,8,30
Western Sahara,25,-13
Malawi,-13.5,34
Burundi,-3.5,30
Sierra Leone,8.48,-13.23
Botswana,-24.66,25.91
Burma,22,96
West Bank and Gaza,32,35.38
Guinea-Bissau,11.8,-15.18
Mali,17.57,-3.99
Saint Kitts and Nevis,17.36,-62.78
Laos,18,105
Libya,26.33,17.23
Belize,17.19,-88.5
Dominica,15.42,-61.4
Grenada,12.12,-61.68
Mozambique,-18.67,35.53
Syria,34.80,39
East Timor,-8.87,125.73
Eritrea,15.18,39.78
Uganda,1.38,32.29
Cape Verde,16.54,-23.04
Haiti,18.97,-72.29
Madagascar,-18.77,46.87
Niger,17.6,8.1
Papua New Guinea,-6.3,143.96
Zimbabwe,-19.015,29.15
Chad,15.45,18.73
El Salvador,13.79,-88.9
Fiji,-17.7,178.065
Nicaragua,12.86,-85.21
Djibouti,11.83,42.59
Kyrgyzstan,41.20,74.77
Mauritius,-20.35,57.55
Zambia,-13.13,27.85
Barbados,13.2,-59.54
Gambia,13.44,-15.31
Montenegro,42.71,19.37
Bahamas,25.03,-78.04
Benin,9.31,2.32
Liberia,6.43,-9.43
Somalia,5.15,46.2
Tanzania,-6.37,34.9
Central African Republic,6.6,20.94
Equatorial Guinea,1.65,10.27
Kosovo,42.6,20.9
Uzbekistan,41.4,64.6
Eswatini,-26.5,31.47
Gabon,-0.8,11.61
Ghana,7.94,-1.02
Guatemala,15.78,-90.23
Mauritania,21,-10.94
Namibia,-22.96,18.5
Rwanda,-1.94,29.87
Saint Lucia,13.91,-60.98
Saint Vincent and the Grenadines,12.98,-61.29
Seychelles,-4.68,55.5
Suriname,3.92,-56
Trinidad and Tobago,10.7,-61.22
Uruguay,-32.52,-55.77
Venezuela,6.42,-66.6
Ethiopia,9.14,40.5
Guinea,9.95,-9.7
Kazakhstan,48,67
Kenya,0,37.9
Sudan,12.86,30.22
Cuba,21.52,-77.78
Guyana,4.86,-58.93
Bolivia,-16.29,-63.59
Congo,-4.27,37.59
Cruise Ship,0,0
Honduras,15.2,-86.24
Jamaica,18.11,-77.30
Turkey,38.96,35.24
Burkina Faso,12.24,-1.56
Holy See,41.91,12.45
Mongolia,46.86,103.85
Panama,8.54,-80.78
Brunei,4.54,114.73
Cyprus,35.13,33.43
Bangladesh,23.70,90.36
Bulgaria,42.74,25.49
Maldives,3.2,73.22
Moldova,47.4,28.37
Paraguay,-23.44,-58.44
Malta,35.94,14.38
Bhutan,27.5,90.4
Cameroon,3.85,11.5
Costa Rica,9.75,-83.75
Peru,-10,-76
Serbia,44,21
Slovakia,48.7,19.7
Togo,8.62,0.82
Bosnia and Herzegovina,43.9,17.68
Slovenia,46.15,15
South Africa,-30.5,23
Hungary,47,19.5
Liechtenstein,47,9.55
Poland,51.92,19
Tunisia,34,9.5
Argentina,-38.4,-63.6
Chile,-34,-71
Jordan,31.24,36.51
Ukraine,49,32
Indonesia,-0.79,113.92
Latvia,57,24.6
Morocco,32,-7
Portugal,39.4,-8.2
Saudi Arabia,24,45
Senegal,14.5,-14.45
Armenia,40,45
Czech Republic,50,15.5
Dominican Republic,19,-70
Ecuador,-1.8,-78
Ireland,53,-7.7
Luxembourg,49.8,6.13
Monaco,43.73,7.42
Qatar,25.35,51
Azerbaijan,40,47.6
Belarus,54,28
Iceland,65,-19
Lithuania,55,24
New Zealand,-41,175
Nigeria,9,8.68
Denmark,56,10
Estonia,59,26
Netherlands,52.32,5.55
San Marino,43.94,12.46
Georgia,42.3,43
Greece,39,22
North Macedonia,41.61,21.75
Norway,60,8.5
Pakistan,30,70
Romania,46,25
Austria,47.5,14.6
Croatia,45,15
Switzerland,47,8.2
Bahrain,26,50.6
Kuwait,29,47.5
Oman,21.5,55.9
Iraq,33,44
Israel,31,35
Lebanon,34,36
Iran,32.4,53.7
Egypt,27,31
Belgium,51,4.5
Spain,40,-4
Italy,43,12
Russia,60,90
Sweden,63,16
United Kingdom,55,0
India,21,78
Finland,62,26
United Arab Emirates,23,54
Germany,51,9
Cambodia,11.55,105
Ivory Coast,7.54,-5.55
Sri Lanka,7.87,81
Canada,60,-110
Nepal,28,84
France,47,2
Australia,-25,133
Brazil,-10,-52
Colombia,4,-72
Malaysia,4,102
Mexico,23,-102
Philippines,12.88,121.77
Singapore,1.28,103.83
Vietnam,14,108
China,35,103
Japan,36,138
South Korea,35.9,127.77
Taiwan,23.7,121
Thailand,16,101
US,40,-90
